번호,학수번호-분반,강좌명,대상학년,교수명,학점,이수구분,특이사항,전공2,전공1,학수번호,트랙,연중,교양,필수,온라인,요일1,요일2,장소,시간1,시간2,수강
1,AMTH3003-00,미분기하학,3,한창용,3,4,,1,0,AMTH3003,,0,0,1,0,2,4,2,2,0,0
3,AMTH2010-00,해석학1,2,박준표,3,4,,1,0,AMTH2010,,0,0,1,0,1,3,2,1,0,0
4,AMTH3013-00,현대대수학I,3,김정산,3,4,,1,0,AMTH3013,,0,0,1,0,2,4,2,4,0,0
5,AMTH3023-00,독립심화학습1(응용수학과),3,박준표,3,5,,1,0,AMTH3023,,0,0,0,0,3,0,2,7,8,0
6,AMTH3029-00,복소함수및응용,3,박준표,3,5,,1,0,AMTH3029,,0,0,0,0,1,3,2,2,0,0
7,AMTH2004-00,수리프로그래밍,2,김혜현,3,5,,1,0,AMTH2004,수치해석,0,0,0,0,2,4,2,4,0,0
8,AMTH2004-01,수리프로그래밍,2,김혜현,3,5,,1,0,AMTH2004,수치해석,0,0,0,0,2,4,2,5,0,0
9,AMTH3027-00,수치선형대수,3,김경수,3,5,,1,0,AMTH3027,수치해석,0,0,0,0,2,4,2,3,0,0
10,AMTH1010-00,응용선형대수특강,2,최선호,3,5,,1,0,AMTH1010,금융 및 보험,0,0,0,0,1,3,2,2,0,1
11,AMTH3022-00,응용수학 캡스톤디자인 2,3,김경수,3,5,강의일시 변동 가능,1,0,AMTH3022,,0,0,0,0,2,4,2,1,0,0
12,AMTH2015-00,이산수학,2,김경수,3,5,,1,0,AMTH2015,정보보호,0,0,0,0,2,4,2,2,0,0
13,AMTH4018-00,최적화이론,4,김정호,3,5,,1,0,AMTH4018,,0,0,0,0,1,3,2,1,0,0
14,AMTH2014-00,컴퓨터지원기하학적설계,2,한창용,3,5,원격수업(중간/기말 대면시험),1,0,AMTH2014,수치해석,0,0,0,0,2,4,2,6,0,0
15,AMTH3028-00,편미분방정식,4,김정호,3,5,,1,0,AMTH3028,수치해석,0,0,0,0,1,3,2,2,0,0
16,EDU3336-G00,교과교수법(수학),4,이경희,3,20,,1,0,EDU3336,,0,0,0,0,5,0,2,3,4,0
17,EDU3137-G00,교과교육론(수학),3,이경희,3,20,,1,0,EDU3137,,0,0,0,0,5,0,2,5,6,0
1,AMTH1009-00,미분적분학,1,최선호,3,11,응용수학과 신입생 우선배정강좌,1,0,AMTH1009,,0,0,1,0,1,3,2,4,0,1
2,AMTH1009-01,미분적분학,1,최선호,3,11,,1,0,AMTH1009,,0,0,1,0,1,3,2,5,0,1
3,AMTH1009-02,미분적분학,1,김관혁,3,11,우주과학과 신입생 우선배정강좌,1,0,AMTH1009,,0,0,1,0,1,3,2,4,0,1
4,AMTH1009-03,미분적분학,1,김병학,3,11,,1,0,AMTH1009,,0,0,1,0,2,4,2,2,0,1
5,AMTH1009-04,미분적분학,1,김병학,3,11,,1,0,AMTH1009,,0,0,1,0,2,4,2,4,0,1
6,AMTH1009-05,미분적분학,1,김수현,3,11,,1,0,AMTH1009,,0,0,1,0,5,0,2,1,2,1
7,AMTH1009-06,미분적분학,1,김수현,3,11,,1,0,AMTH1009,,0,0,1,0,5,0,2,4,5,1
8,AMTH1009-07,미분적분학,1,김원주,3,11,,1,0,AMTH1009,,0,0,1,0,2,4,1,3,0,1
9,AMTH1009-08,미분적분학,1,김원주,3,11,응용화학과 신입생 우선배정강좌,1,0,AMTH1009,,0,0,1,0,2,4,1,4,0,1
