번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,AMTH1009-00,미분적분학,1,40,최선호,3,월 13:30-14:45 (전221) 수 13:30-14:45 (전221),11, ,응용수학과 신입생 우선배정강좌,강의계획안 보기
2,AMTH1009-01,미분적분학,1,40,최선호,3,월 15:00-16:15 (전221) 수 15:00-16:15 (전221),11, ,,강의계획안 보기
3,AMTH1009-02,미분적분학,1,50,김관혁,3,월 13:30-14:45 (전101) 수 13:30-14:45 (전101),11, ,우주과학과 신입생 우선배정강좌,강의계획안 보기
4,AMTH1009-03,미분적분학,1,40,김병학,3,화 10:30-11:45 (전223) 목 10:30-11:45 (전223),11, ,,강의계획안 보기
5,AMTH1009-04,미분적분학,1,50,김병학,3,화 13:30-14:45 (전101) 목 13:30-14:45 (전101),11, ,,강의계획안 보기
6,AMTH1009-05,미분적분학,1,40,김수현,3,금 09:00-11:45 (전223),11, ,,강의계획안 보기
7,AMTH1009-06,미분적분학,1,40,김수현,3,금 13:30-16:15 (전223),11, ,,강의계획안 보기
8,AMTH1009-07,미분적분학,1,45,김원주,3,화 12:00-13:15 (멀107) 목 12:00-13:15 (멀107),11, ,,강의계획안 보기
9,AMTH1009-08,미분적분학,1,45,김원주,3,화 13:30-14:45 (멀404) 목 13:30-14:45 (멀404),11, ,응용화학과 신입생 우선배정강좌,강의계획안 보기
10,AMTH1009-09,미분적분학,1,40,김정산,3,화 10:30-11:45 (전221) 목 10:30-11:45 (전221),11, ,,강의계획안 보기
11,AMTH1009-10,미분적분학,1,45,나광수,3,화 09:00-10:15 (멀107) 목 09:00-10:15 (멀107),11, ,,강의계획안 보기
12,AMTH1009-11,미분적분학,1,45,나광수,3,화 10:30-11:45 (멀107) 목 10:30-11:45 (멀107),11, ,,강의계획안 보기
13,AMTH1009-12,미분적분학,1,40,남윤,3,월 12:00-13:15 (전221) 수 12:00-13:15 (전221),11, ,,강의계획안 보기
14,AMTH1009-13,미분적분학,1,40,남윤,3,월 13:30-14:45 (전223) 수 13:30-14:45 (전223),11, ,응용물리학과 신입생 우선배정강좌,강의계획안 보기
15,AMTH1009-14,미분적분학,1,50,박정주,3,화 15:00-16:15 (전101) 목 15:00-16:15 (전101),11, ,,강의계획안 보기
16,AMTH1009-15,미분적분학,1,50,박정주,3,화 16:30-17:45 (전101) 목 16:30-17:45 (전101),11, ,,강의계획안 보기
17,AMTH1009-16,미분적분학,1,45,박정준,3,월 09:00-10:15 (멀704) 수 09:00-10:15 (멀704),11, ,응용화학과 신입생 우선배정강좌,강의계획안 보기
18,AMTH1009-17,미분적분학,1,45,박정준,3,월 10:30-11:45 (멀408) 수 10:30-11:45 (멀408),11, ,,강의계획안 보기
19,AMTH1009-18,미분적분학,1,45,손수진,3,금 09:00-11:45 (멀404),11, ,,강의계획안 보기
20,AMTH1009-19,미분적분학,1,45,손수진,3,금 12:00-14:45 (멀404),11, ,,강의계획안 보기
21,AMTH1009-20,미분적분학,1,40,신혜선,3,금 10:30-13:15 (전221),11, ,,강의계획안 보기
22,AMTH1009-21,미분적분학,1,40,신혜선,3,금 13:30-16:15 (전221),11, ,,강의계획안 보기
23,AMTH1009-22,미분적분학,1,50,차준심,3,금 09:00-11:45 (전101),11, ,,강의계획안 보기
24,AMTH1009-23,미분적분학,1,50,차준심,3,금 13:30-16:15 (전101),11, ,,강의계획안 보기
25,AMTH1009-24,미분적분학,1,50,최용빈,3,월 15:00-16:15 (전101) 수 15:00-16:15 (전101),11, ,,강의계획안 보기
26,AMTH1009-25,미분적분학,1,50,최용빈,3,월 16:30-17:45 (전101) 수 16:30-17:45 (전101),11, ,,강의계획안 보기
27,AMTH1009-26,미분적분학,1,45,최진혁,3,월 09:00-10:15 (멀107) 수 09:00-10:15 (멀107),11, ,응용화학과 신입생 우선배정강좌,강의계획안 보기
28,AMTH1009-27,미분적분학,1,45,최진혁,3,월 10:30-11:45 (멀107) 수 10:30-11:45 (멀107),11, ,,강의계획안 보기
29,AMTH1009-28,미분적분학,1,140,한창용,3,화 09:00-10:15 (전205) 목 09:00-10:15 (전205),11, ,,강의계획안 보기
30,AMTH1009-29,미분적분학,1,50,나광수,3,월 16:30-17:45 (전102) 수 16:30-17:45 (전102),11, ,,강의계획안 보기
31,AMTH1009-30,미분적분학,1,40,남궁윤미,3,화 15:00-16:15 (전223) 목 15:00-16:15 (전223),11, ,,강의계획안 보기
32,AMTH1009-31,미분적분학,1,45,박정준,3,월 12:00-13:15 (멀408) 수 12:00-13:15 (멀408),11, ,,강의계획안 보기
33,AMTH1009-32,미분적분학,1,45,손수진,3,월 09:00-10:15 (멀404) 수 09:00-10:15 (멀404),11, ,,강의계획안 보기
34,AMTH1009-33,미분적분학,1,45,최용빈,3,금 15:00-17:45 (멀405),11, ,,강의계획안 보기
35,AMTH1004-00,선형대수,1,50,박준표,3,월 12:00-13:15 (전101) 수 12:00-13:15 (전101),11, ,응용수학과 신입생 우선배정강좌,강의계획안 보기
36,AMTH1004-01,선형대수,1,50,김현수,3,월 12:00-13:15 (전102) 수 12:00-13:15 (전102),11, ,,강의계획안 보기
37,AMTH1004-02,선형대수,1,50,김현수,3,월 13:30-14:45 (전102) 수 13:30-14:45 (전102),11, ,,강의계획안 보기
38,AMTH1004-03,선형대수,1,50,남궁윤미,3,화 12:00-13:15 (전102) 목 12:00-13:15 (전102),11, ,,강의계획안 보기
39,AMTH1004-04,선형대수,1,40,남궁윤미,3,화 13:30-14:45 (전223) 목 13:30-14:45 (전223),11, ,,강의계획안 보기
40,AMTH1004-05,선형대수,1,45,박명진,3,월 13:30-14:45 (멀408) 수 13:30-14:45 (멀408),11, ,,강의계획안 보기
41,AMTH1004-06,선형대수,1,50,박지연,3,금 09:00-11:45 (전102),11, ,,강의계획안 보기
42,AMTH1004-07,선형대수,1,50,박지연,3,금 13:30-16:15 (전102),11, ,,강의계획안 보기
43,AMTH1004-08,선형대수,1,45,배재형,3,화 09:00-10:15 (멀404) 목 09:00-10:15 (멀404),11, ,,강의계획안 보기
44,AMTH1004-09,선형대수,1,45,이진,3,화 13:30-14:45 (멀107) 목 13:30-14:45 (멀107),11, ,우주과학과 신입생 우선배정강좌,강의계획안 보기
45,AMTH1004-10,선형대수,1,45,이진,3,화 15:00-16:15 (멀107) 목 15:00-16:15 (멀107),11, ,,강의계획안 보기
46,AMTH1004-11,선형대수,1,40,김현수,3,월 09:00-10:15 (전102) 수 09:00-10:15 (전102),11, ,,강의계획안 보기
47,AMTH1005-00,통계학,1,40,백옥분,3,금 12:00-14:45 (멀107),11, ,,강의계획안 보기
48,AMTH1005-01,통계학,1,40,백옥분,3,금 15:00-17:45 (멀107),11, ,,강의계획안 보기
