번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,APCH1131-00,일반화학,,60,이현주,3,월 09:00-10:15 (멀204) 수 09:00-10:15 (멀204),11, ,,강의계획안 보기
2,APCH1131-01,일반화학,,60,최혁준,3,수 09:00-11:45 (멀403),11, ,,강의계획안 보기
3,APCH1131-02,일반화학,,50,이현주,3,화 15:00-16:15 (멀405) 목 15:00-16:15 (멀405),11, ,,강의계획안 보기
4,APCH1131-03,일반화학,,50,이현주,3,화 16:30-17:45 (멀405) 목 16:30-17:45 (멀405),11, ,,강의계획안 보기
5,APCH1131-04,일반화학,,60,최혁준,3,금 09:00-11:45 (멀204),11, ,,강의계획안 보기
6,APCH1131-05,일반화학,,60,최혁준,3,금 12:00-14:45 (멀204),11, ,,강의계획안 보기
7,APCH1121-00,화학1,,63,심지혜,3,화 12:00-13:15 (공149호) 목 12:00-13:15 (공149호),11, ,,강의계획안 보기
8,APCH1121-01,화학1,,77,심지혜,3,금 10:30-13:15 (공142-1호),11, ,유전생명공학과,강의계획안 보기
9,APCH1121-02,화학1,,62,오영호,3,금 09:00-11:45 (공146호),11, ,,강의계획안 보기
10,APCH1121-03,화학1,,62,오영호,3,금 13:30-16:15 (공146호),11, ,식품생명공학과,강의계획안 보기
11,APCH1121-04,화학1,,70,박성훈,3,금 09:00-11:45 (국경108),11, ,스마트팜과학과,강의계획안 보기
12,APCH1121-05,화학1,,70,박성훈,3,금 13:00-15:45 (공176호),11, ,융합바이오신소재공학과,강의계획안 보기
13,APCH1121-06,화학1,,76,전우진,3,화 10:30-11:45 (공176호) 목 10:30-11:45 (공176호),11, ,신소재공학과 전용강좌,강의계획안 보기
14,APCH1101-00,화학및실험1,,18,안광현,3,월 10:30-12:20 (멀404) 수 10:30-12:20 (멀308),11, ,응용화학과 우선배정,강의계획안 보기
15,APCH1101-01,화학및실험1,,18,안광현,3,월 10:30-12:20 (멀404) 수 10:30-12:20 (멀309),11, ,환경학 및 환경공학과 우선 배정,강의계획안 보기
16,APCH1101-02,화학및실험1,,20,김학원,3,화 10:30-12:20 (멀404) 목 10:30-12:20 (멀308),11, ,응용화학과 우선배정,강의계획안 보기
17,APCH1101-03,화학및실험1,,20,김학원,3,화 10:30-12:20 (멀404) 목 10:30-12:20 (멀309),11, ,응용화학과 우선 배정,강의계획안 보기
18,APCH1101-04,화학및실험1,,18,안광현,3,월 13:00-14:50 (멀404) 수 13:00-14:50 (멀308),11, ,환경학및환경공학과 우선배정,강의계획안 보기
19,APCH1101-05,화학및실험1,,20,안광현,3,월 13:00-14:50 (멀404) 수 13:00-14:50 (멀309),11, ,환경학및환경공학과 우선배정,강의계획안 보기
20,APCH1101-06,화학및실험1,,18,김태우,3,화 15:00-16:50 (멀404) 목 15:00-16:50 (멀308),11,영어(부분),응용수학과 우선 배정,강의계획안 보기
21,APCH1101-07,화학및실험1,,18,김태우,3,화 15:00-16:50 (멀404) 목 15:00-16:50 (멀309),11,영어(부분),응용수학과 우선 배정,강의계획안 보기
