번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,APHY1000-00,물리학1,,40,황규성,3,월 12:00-13:15 (전218) 수 12:00-13:15 (전218),11, ,응용물리학과 전용강좌,강의계획안 보기
2,APHY1000-01,물리학1,,40,김경호,3,월 15:00-16:15 (전102) 수 15:00-16:15 (전102),11, ,우주과학과 전용강좌,강의계획안 보기
3,APHY1000-02,물리학1,,50,최홍,3,월 09:00-10:15 (멀405) 수 09:00-10:15 (멀405),11, ,,강의계획안 보기
4,APHY1000-03,물리학1,,50,김영민,3,월 15:00-16:15 (멀405) 수 15:00-16:15 (멀405),11, ,,강의계획안 보기
5,APHY1000-04,물리학1,,50,김영민,3,월 16:30-17:45 (멀405) 수 16:30-17:45 (멀405),11, ,,강의계획안 보기
6,APHY1000-05,물리학1,,50,최정우,3,화 09:00-10:15 (멀405) 목 09:00-10:15 (멀405),11, ,,강의계획안 보기
7,APHY1000-06,물리학1,,50,최정우,3,화 10:30-11:45 (멀405) 목 10:30-11:45 (멀405),11, ,,강의계획안 보기
8,APHY1000-07,물리학1,,50,이남영,3,금 09:00-11:45 (멀403),11, ,,강의계획안 보기
9,APHY1000-08,물리학1,,50,이남영,3,금 13:00-15:45 (멀403),11, ,,강의계획안 보기
10,APHY1000-09,물리학1,,55,박기주,3,화 15:00-16:15 (전227) 목 15:00-16:15 (전227),11,영어(부분),생체의공학과 전용강좌,강의계획안 보기
11,APHY1000-10,물리학1,,73,김민중,3,월 10:30-11:45 (공176호) 수 10:30-11:45 (공176호),11,영어(부분),신소재공학과 전용강좌,강의계획안 보기
12,APHY1002-00,물리학및실험1,,25,이종수,3,월 09:00-10:50 (멀403) 수 09:00-10:50 (멀302),11, ,실험수업 302호,강의계획안 보기
13,APHY1002-01,물리학및실험1,,25,이종수,3,월 09:00-10:50 (멀403) 수 09:00-10:50 (멀304),11, ,실험수업 304호,강의계획안 보기
14,APHY1002-02,물리학및실험1,,25,임대영,3,월 11:00-12:50 (멀403) 수 11:00-12:50 (멀302),11, ,실험수업 302호,강의계획안 보기
15,APHY1002-03,물리학및실험1,,25,임대영,3,월 11:00-12:50 (멀403) 수 11:00-12:50 (멀304),11, ,실험수업 304호,강의계획안 보기
16,APHY1002-04,물리학및실험1,,25,이호선,3,월 14:00-15:50 (멀403) 수 14:00-15:50 (멀302),11, ,"응용화학과 우선배정강좌, 실험수업 302호",강의계획안 보기
17,APHY1002-05,물리학및실험1,,25,이호선,3,월 14:00-15:50 (멀403) 수 14:00-15:50 (멀304),11, ,"응용화학과 우선배정강좌, 실험수업 304호",강의계획안 보기
18,APHY1002-06,물리학및실험1,,25,임대영,3,월 15:00-16:50 (멀305) 수 15:00-16:50 (멀403),11, ,실험수업 305호,강의계획안 보기
19,APHY1002-07,물리학및실험1,,25,임대영,3,월 15:00-16:50 (멀306) 수 15:00-16:50 (멀403),11, ,실험수업 306호,강의계획안 보기
20,APHY1002-08,물리학및실험1,,25,이은모,3,월 13:00-14:50 (멀302) 수 13:00-14:50 (멀403),11, ,실험수업 302호,강의계획안 보기
21,APHY1002-09,물리학및실험1,,25,이은모,3,월 13:00-14:50 (멀304) 수 13:00-14:50 (멀403),11, ,실험수업 304호,강의계획안 보기
22,APHY1002-10,물리학및실험1,,25,임재용,3,월 15:00-16:50 (멀302) 화 15:00-16:50 (멀403),11, ,실험수업 302호,강의계획안 보기
23,APHY1002-11,물리학및실험1,,25,임재용,3,월 15:00-16:50 (멀304) 화 15:00-16:50 (멀403),11, ,실험수업 304호,강의계획안 보기
24,APHY1002-12,물리학및실험1,,25,김원년,3,화 16:00-17:50 (멀305) 목 16:00-17:50 (멀403),11, ,실험수업 305호,강의계획안 보기
25,APHY1002-13,물리학및실험1,,25,김원년,3,화 16:00-17:50 (멀306) 목 16:00-17:50 (멀403),11, ,실험수업 306호,강의계획안 보기
26,APHY1002-14,물리학및실험1,,25,임혜린,3,화 11:00-12:50 (멀403) 목 11:00-12:50 (멀305),11, ,"응용수학과 우선배정강좌, 실험수업 305호",강의계획안 보기
27,APHY1002-15,물리학및실험1,,25,임혜린,3,화 11:00-12:50 (멀403) 목 11:00-12:50 (멀306),11, ,"응용수학과 우선배정강좌, 실험수업 306호",강의계획안 보기
28,APHY1004-00,일반물리,,50,최홍,3,월 10:30-11:45 (멀405) 수 10:30-11:45 (멀405),11, ,,강의계획안 보기
29,APHY1004-01,일반물리,,50,이나영,3,월 12:00-13:15 (멀405) 수 12:00-13:15 (멀405),11, ,,강의계획안 보기
30,APHY1004-02,일반물리,,50,이나영,3,월 13:30-14:45 (멀405) 수 13:30-14:45 (멀405),11, ,,강의계획안 보기
31,APHY1004-03,일반물리,,55,조영범,3,월 09:00-10:15 (공367호) 수 09:00-10:15 (공367호),11, ,원자력공학과 전용강좌,강의계획안 보기
