"번호","학수번호-분반","강좌명","대상학년","정원","교수명","학점","강의시간/강의실","이수구분","언어구분","특이사항","강의계획서"
"1","GEC1105-G00","성찰과표현","","30","최윤희","3","월 09:00-10:15 (멀205) 수 09:00-10:15 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"2","GEC1105-G01","성찰과표현","","30","김기섭","3","월 09:00-10:15 (멀206) 수 09:00-10:15 (멀206)","16"," ","체육부전용강좌","강의계획안 보기"
"3","GEC1105-G02","성찰과표현","","30","박지용","3","월 09:00-10:15 (멀207) 수 09:00-10:15 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"4","GEC1105-G03","성찰과표현","","30","김광섭","3","월 09:00-10:15 (멀109) 수 09:00-10:15 (멀109)","16"," ","1학년우선수강강좌","강의계획안 보기"
"5","GEC1105-G04","성찰과표현","","30","최승희","3","월 09:00-10:15 (멀103) 수 09:00-10:15 (멀103)","16"," ","","강의계획안 보기"
"6","GEC1105-G05","성찰과표현","","30","유재명","3","월 10:30-11:45 (멀205) 수 10:30-11:45 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"7","GEC1105-G06","성찰과표현","","30","김광섭","3","월 10:30-11:45 (멀109) 수 10:30-11:45 (멀109)","16"," ","1학년우선수강강좌","강의계획안 보기"
"8","GEC1105-G07","성찰과표현","","30","최면정","3","월 10:30-11:45 (멀206) 수 10:30-11:45 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"9","GEC1105-G08","성찰과표현","","30","최승희","3","월 10:30-11:45 (멀103) 수 10:30-11:45 (멀103)","16"," ","1학년우선수강강좌","강의계획안 보기"
"10","GEC1105-G09","성찰과표현","","30","Cynthia SohYoung Yoo","3","월 10:30-11:45 (멀207) 수 10:30-11:45 (멀207)","16","영어","전체영어강의","강의계획안 보기"
"11","GEC1105-G10","성찰과표현","","30","박주은","3","월 12:00-13:15 (멀109) 수 12:00-13:15 (멀109)","16"," ","1학년우선수강강좌","강의계획안 보기"
"12","GEC1105-G11","성찰과표현","","30","이우현","3","월 12:00-13:15 (멀207) 수 12:00-13:15 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"13","GEC1105-G12","성찰과표현","","30","최면정","3","월 12:00-13:15 (멀206) 수 12:00-13:15 (멀206)","16"," ","","강의계획안 보기"
"14","GEC1105-G13","성찰과표현","","30","한유희","3","월 12:00-13:15 (멀108) 수 12:00-13:15 (멀108)","16"," ","1학년우선수강강좌","강의계획안 보기"
"15","GEC1105-G14","성찰과표현","","30","홍비연","3","월 12:00-13:15 (멀205) 수 12:00-13:15 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"16","GEC1105-G15","성찰과표현","","30","최윤희","3","월 13:30-14:45 (멀206) 수 13:30-14:45 (멀206)","16"," ","","강의계획안 보기"
"17","GEC1105-G16","성찰과표현","","30","박주은","3","월 13:30-14:45 (멀109) 수 13:30-14:45 (멀109)","16"," ","1학년우선수강강좌","강의계획안 보기"
"18","GEC1105-G17","성찰과표현","","30","이우현","3","월 13:30-14:45 (멀207) 수 13:30-14:45 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"19","GEC1105-G18","성찰과표현","","30","한유희","3","월 13:30-14:45 (멀108) 수 13:30-14:45 (멀108)","16"," ","1학년우선수강강좌","강의계획안 보기"
"20","GEC1105-G19","성찰과표현","","30","홍비연","3","월 13:30-14:45 (멀205) 수 13:30-14:45 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"21","GEC1105-G20","성찰과표현","","30","박경희","3","월 15:00-16:15 (멀207) 수 15:00-16:15 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"22","GEC1105-G21","성찰과표현","","30","박지혜","3","월 15:00-16:15 (멀206) 수 15:00-16:15 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"23","GEC1105-G22","성찰과표현","","30","박경희","3","월 16:30-17:45 (멀207) 수 16:30-17:45 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"24","GEC1105-G23","성찰과표현","","30","박지혜","3","월 16:30-17:45 (멀206) 수 16:30-17:45 (멀206)","16"," ","","강의계획안 보기"
"25","GEC1105-G24","성찰과표현","","20","백지윤","3","월 16:30-17:45 (멀108) 수 16:30-17:45 (멀108)","16"," ","유학생전용강좌","강의계획안 보기"
"26","GEC1105-G25","성찰과표현","","30","김정은","3","월 09:00-10:15 (멀108) 수 09:00-10:15 (멀108)","16"," ","1학년우선수강강좌","강의계획안 보기"
"27","GEC1105-G26","성찰과표현","","30","조명숙","3","화 09:00-10:15 (멀207) 목 09:00-10:15 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"28","GEC1105-G27","성찰과표현","","30","유재명","3","화 10:30-11:45 (멀205) 목 10:30-11:45 (멀205)","16"," ","","강의계획안 보기"
"29","GEC1105-G28","성찰과표현","","30","김정은","3","월 10:30-11:45 (멀108) 수 10:30-11:45 (멀108)","16"," ","1학년우선수강강좌","강의계획안 보기"
"30","GEC1105-G29","성찰과표현","","30","조명숙","3","화 10:30-11:45 (멀207) 목 10:30-11:45 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"31","GEC1105-G30","성찰과표현","","30","조은영","3","화 12:00-13:15 (멀205) 목 12:00-13:15 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"32","GEC1105-G31","성찰과표현","","30","김미선","3","화 12:00-13:15 (멀206) 목 12:00-13:15 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"33","GEC1105-G32","성찰과표현","","30","이윤주","3","화 12:00-13:15 (멀207) 목 12:00-13:15 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"34","GEC1105-G33","성찰과표현","","20","장성희","3","화 12:00-13:15 (멀103) 목 12:00-13:15 (멀103)","16"," ","유학생전용강좌","강의계획안 보기"
"35","GEC1105-G34","성찰과표현","","30","김미선","3","화 13:30-14:45 (멀206) 목 13:30-14:45 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"36","GEC1105-G35","성찰과표현","","30","이윤주","3","화 13:30-14:45 (멀207) 목 13:30-14:45 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"37","GEC1105-G36","성찰과표현","","30","엄상희","3","화 13:30-14:45 (멀205) 목 13:30-14:45 (멀205)","16"," ","","강의계획안 보기"
"38","GEC1105-G37","성찰과표현","","30","오태호","3","화 15:00-16:15 (멀205) 목 15:00-16:15 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"39","GEC1105-G38","성찰과표현","","30","조운아","3","화 15:00-16:15 (멀206) 목 15:00-16:15 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"40","GEC1105-G39","성찰과표현","","20","지여정","3","화 15:00-16:15 (멀207) 목 15:00-16:15 (멀207)","16"," ","유학생전용강좌","강의계획안 보기"
"41","GEC1105-G40","성찰과표현","","30","오태호","3","화 16:30-17:45 (멀205) 목 16:30-17:45 (멀205)","16"," ","","강의계획안 보기"
"42","GEC1105-G41","성찰과표현","","30","조운아","3","화 16:30-17:45 (멀206) 목 16:30-17:45 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"43","GEC1105-G42","성찰과표현","","30","지여정","3","화 16:30-17:45 (멀207) 목 16:30-17:45 (멀207)","16"," ","1학년우선수강강좌","강의계획안 보기"
"44","GEC1105-G43","성찰과표현","","30","고유림","3","금 09:00-11:45 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"45","GEC1105-G44","성찰과표현","","30","이은봉","3","금 09:00-11:45 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"46","GEC1105-G45","성찰과표현","","30","최수진","3","금 09:00-11:45 (멀402)","16"," ","","강의계획안 보기"
"47","GEC1105-G46","성찰과표현","","30","이승아","3","금 12:00-14:45 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"48","GEC1105-G47","성찰과표현","","30","이은봉","3","금 12:00-14:45 (멀206)","16"," ","1학년우선수강강좌","강의계획안 보기"
"49","GEC1105-G48","성찰과표현","","30","최수진","3","금 12:00-14:45 (멀402)","16"," ","","강의계획안 보기"
"50","GEC1105-G49","성찰과표현","","30","이승아","3","금 15:00-17:45 (멀205)","16"," ","1학년우선수강강좌","강의계획안 보기"
"51","GEC2001-G01","주제연구","","20","이은선","3","월 09:00-10:15 (우정원B113) 수 09:00-10:15 (우정원B113)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"52","GEC2001-G02","주제연구","","20","김기섭","3","월 10:30-11:45 (멀101) 수 10:30-11:45 (멀101)","16"," ","체육부전용강좌/선수과목: 성찰과표현","강의계획안 보기"
"53","GEC2001-G03","주제연구","","20","박지용","3","월 10:30-11:45 (멀201) 수 10:30-11:45 (멀201)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"54","GEC2001-G04","주제연구","","20","이은선","3","월 10:30-11:45 (우정원B113) 수 10:30-11:45 (우정원B113)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"55","GEC2001-G05","주제연구","","20","김기섭","3","월 12:00-13:15 (멀101) 수 12:00-13:15 (멀101)","16"," ","체육부전용강좌/선수과목: 성찰과표현","강의계획안 보기"
"56","GEC2001-G06","주제연구","","20","박지용","3","월 12:00-13:15 (멀201) 수 12:00-13:15 (멀201)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"57","GEC2001-G07","주제연구","","20","강호정","3","월 12:00-13:15 (우정원B113) 수 12:00-13:15 (우정원B113)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"58","GEC2001-G08","주제연구","","20","박상란","3","월 12:00-13:15 (멀409) 수 12:00-13:15 (멀409)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"59","GEC2001-G09","주제연구","","20","강호정","3","월 13:30-14:45 (우정원B113) 수 13:30-14:45 (우정원B113)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"60","GEC2001-G10","주제연구","","20","김민정","3","월 13:30-14:45 (멀101) 수 13:30-14:45 (멀101)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"61","GEC2001-G11","주제연구","","20","박상란","3","월 13:30-14:45 (멀201) 수 13:30-14:45 (멀201)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"62","GEC2001-G12","주제연구","","20","김민정","3","월 15:00-16:15 (멀101) 수 15:00-16:15 (멀101)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"63","GEC2001-G13","주제연구","","20","백지윤","3","월 15:00-16:15 (멀108) 수 15:00-16:15 (멀108)","16"," ","유학생전용강좌, 선수과목: 성찰과표현","강의계획안 보기"
"64","GEC2001-G14","주제연구","","20","오태호","3","화 09:00-10:15 (멀101) 목 09:00-10:15 (멀101)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"65","GEC2001-G15","주제연구","","20","진은진","3","화 09:00-10:15 (멀108) 목 09:00-10:15 (멀108)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"66","GEC2001-G16","주제연구","","20","이은영","3","화 09:00-10:15 (멀201) 목 09:00-10:15 (멀201)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"67","GEC2001-G17","주제연구","","20","오태호","3","화 10:30-11:45 (멀101) 목 10:30-11:45 (멀101)","16"," ","선수과목:성찰과표현","강의계획안 보기"
"68","GEC2001-G18","주제연구","","20","진은진","3","화 10:30-11:45 (멀108) 목 10:30-11:45 (멀108)","16"," ","선수과목:성찰과표현","강의계획안 보기"
