번호,학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,강의계획서
1,GED1501-G00,On Justice,,60,홍기준,3,수 15:00-17:45 (멀411),15,영어,영어강의,강의계획안 보기
2,GED1405-G00,경제학적사유의원리,,50,함선미,3,화 10:30-13:15 (멀513),15, ,,강의계획안 보기
3,GED1860-G00,국가폭력과트라우마,,45,임형진,3,월 09:00-10:15 (멀826) 수 09:00-10:15 (멀826),15, ,,강의계획안 보기
4,GED1468-G00,대학생을위한실용금융,,60,윤병조,3,목 15:00-17:45 (멀612),15, ,,강의계획안 보기
5,GED11009-G00,도덕의과학,,60,전중환,3,금 09:00-11:45 (멀411),15, ,,강의계획안 보기
6,GED1508-G00,동아시아문명론,,60,홍영미,3,화 10:30-11:45 (멀512) 목 10:30-11:45 (멀512),15, ,,강의계획안 보기
7,GED1509-G00,동아시아의서양문명수용론,,45,이준태,3,화 09:00-10:15 (멀513) 목 09:00-10:15 (멀513),15, ,,강의계획안 보기
8,GED1511-G00,두얼굴의인류사:전쟁과평화,,60,유재명,3,월 13:30-14:45 (멀210) 수 13:30-14:45 (멀210),15, ,,강의계획안 보기
9,GED1454-G00,디아스포라,,60,윤희진,3,수 15:00-17:45 (멀512),15, ,,강의계획안 보기
10,GED11011-G00,마음챙김과비폭력대화,,60,정재원,3,금 12:00-14:45 (멀513),15, ,[2023 후마 우수강의],강의계획안 보기
11,GED1736-G00,만화로세상보기,,60,김종옥,3,월 15:00-17:45 (멀612),15, ,,강의계획안 보기
12,GED11019-G00,문명패러다임의혁명:서구근대화과정의현재적이해,,60,이은정,3,월 13:30-14:45 (멀704) 수 13:30-14:45 (멀704),15, ,[2019학번 이전]우리가사는세계 대체과목,강의계획안 보기
13,GED1609-G00,문화유산과역사지리,,50,최석영,3,월 13:30-14:45 (멀826) 수 13:30-14:45 (멀826),15, ,,강의계획안 보기
14,GED1419-G00,"법,질서,국가",,60,김명수,3,금 12:00-14:45 (멀312),15, ,,강의계획안 보기
15,GED1419-G01,"법,질서,국가",,60,Brian Daniel Arundel,3,화 13:30-14:45 (멀612) 목 13:30-14:45 (멀612),15,영어,외국어강좌,강의계획안 보기
16,GED1615-G00,설탕과소금:사소한것들의역사,,45,홍영미,3,화 09:00-10:15 (멀512) 목 09:00-10:15 (멀512),15, ,,강의계획안 보기
17,GED11031-G00,세계속한국의생존과파워,,45,주재우,3,월 09:00-10:15 (멀210) 수 09:00-10:15 (멀210),15, ,,강의계획안 보기
18,GED1663-G00,시민생활과법,,60,김명수,3,금 15:00-17:45 (멀312),15, ,,강의계획안 보기
19,GED1665-G00,영화로읽는도시인문학:환동해도시와문화지리,,45,신진숙,3,화 16:30-17:45 (멀312) 목 16:30-17:45 (멀312),15, ,,강의계획안 보기
20,GED1432-G00,예술을통한공동체만들기,,60,김동언,3,월 13:30-14:45 (멀312) 수 13:30-14:45 (멀312),15, ,,강의계획안 보기
21,GED1435-G00,정치학적사유의원리,,60,임형진,3,월 10:30-11:45 (멀826) 수 10:30-11:45 (멀826),15, ,[2023 후마 우수강의],강의계획안 보기
22,GED11020-G00,청춘을위한영화예찬,,60,이대범,3,수 09:00-11:45 (멀B114),15, ,,강의계획안 보기
23,GED1528-G00,평화와갈등,,60,주재우,3,월 10:30-11:45 (멀210) 수 10:30-11:45 (멀210),15, ,,강의계획안 보기
24,GED1440-G00,행복이란무엇인가,,60,박대진,3,금 12:00-14:45 (멀826),15, ,,강의계획안 보기
25,GED1628-G00,황하와장강:중국역사의발자취,,100,이준태,3,(온라인),15, ,"[2022 후마 우수강의]온라인강좌, 유학생전용강좌",강의계획안 보기
