"번호","학수번호-분반","강좌명","대상학년","정원","교수명","학점","강의시간/강의실","이수구분","언어구분","특이사항","강의계획서"
"1","IPE108-00","4차산업의이해와IOT기술 활용과분석","","60","김명섭","3","화 13:30-14:45 (멀411) 목 13:30-14:45 (멀411)","15"," ","","강의계획안 보기"
"2","GED1502-G00","SF영화의상상력:미래의평화와윤리","","60","이영민","3","화 15:00-16:15 (멀513) 목 15:00-16:15 (멀513)","15"," ","","강의계획안 보기"
"3","GED11043-G00","모두를위한인공지능과윤리적실제","","50","이명호","3","화 13:30-16:15 (멀609)","15"," ","","강의계획안 보기"
"4","GED11042-G00","미래,기술,경영","","60","이근필","3","수 12:00-14:45 (멀512)","15"," ","","강의계획안 보기"
"5","GED1727-G00","미래사회와도시계획","","60","한상연","3","목 15:00-17:45 (멀826)","15"," ","","강의계획안 보기"
"6","GED1721-G00","빅데이터와스포츠산업","","50","이재문","3","금 09:00-11:45 (멀704)","15"," ","체육부전용강좌","강의계획안 보기"
"7","GED1108-G00","생명과학의미래","","60","백광희","3","월 13:30-14:45 (멀411) 수 13:30-14:45 (멀411)","15"," ","","강의계획안 보기"
"8","GED1217-G00","인간과생활속의로봇","","30","이승관","3","화 09:00-10:15 (멀203) 목 09:00-10:15 (멀203)","15"," ","유학생전용강좌/전계열학생 재수강 가능","강의계획안 보기"
"9","GED1217-G01","인간과생활속의로봇","","30","이승관","3","화 10:30-11:45 (멀203) 목 10:30-11:45 (멀203)","15"," ","","강의계획안 보기"
"10","GED1537-G00","프로그래밍입문","","40","이승관","3","월 09:00-10:15 (멀203) 수 09:00-10:15 (멀203)","15"," ","[소프트웨어융합대학, 전자공학과 학생은 수강신청 제한], 배분이수 분석추론논리의 '프로그래밍을통한논리적사유연습', 자유이수의 '소프트웨어개발자를위한C프로그래밍'을 이수하거나 수강 신청한 학생은 수강신청 제한","강의계획안 보기"
