연번,이수구분,교과목명,학수번호,학점,이론,실기,실습,설계,이수학년,1,2,부전공,P/F평가,비고
1,전공기초,Introduction to EconomicsⅠ,IS1001,3,3,,,,1,○,○,,,
2,전공기초,Introduction to EconomicsⅡ,IS1002,3,3,,,,1,○,○,,,
3,전공기초,Introduction to Political Science,IS1003,3,3,,,,1,○,○,,,
4,전공기초,Introduction to International Relations,IS1004,3,3,,,,1,○,○,,,
5,전공필수,Major Issues in International Studies,IS2508,3,3,,,,2,○,○,,,
6,전공필수,Statistics for Social Science,IS2204,3,3,,,,2,○,○,,,
7,전공선택,Advanced English for International Contexts,IS1011,3,3,,,,1,○,○,,○,
8,전공선택,Advertising,IS3301,3,3,,,,3-4,○,○,,,
9,전공선택,American Foreign Policy,IS4401,3,3,,,,3-4,,○,,,
10,전공선택,American Politics and Economy,IS3401,3,3,,,,3-4,○,,,,
11,전공선택,Blockchain and Cryptocurrency,IS2506,3,3,,,,2-4,○,,,,
12,전공선택,Business Finance,IS2301,3,3,,,,2,○,○,,,
13,전공선택,Business Principles and Practices,IS3509,3,3,,,,3-4,○,,,,
14,전공선택,Capstone Design for International Studies,IS3513,3,,,,3,3-4,○,○,,○,
15,전공선택,Chinese Foreign Policy,IS4402,3,3,,,,3-4,,○,,,
16,전공선택,Chinese Politics and Economy,IS3402,3,3,,,,3-4,○,,,,
17,전공선택,Climate Changes and ESG Management,IS3536,3,3,,,,3-4,○,,,,
18,전공선택,Comparative Area Studies,IS2001,3,3,,,,2,○,○,,,
19,전공선택,Comparative Political Economy,IS3411,3,3,,,,3-4,○,,,,
20,전공선택,Consumer Behavior,IS3302,3,3,,,,3-4,○,○,,,
21,전공선택,Contemporary Theories of International Relations,IS3102,3,3,,,,3-4,,○,,,
22,전공선택,Corporate Finance,IS3306,3,3,,,,3-4,○,,,,
23,전공선택,Culture and International Relations,IS3103,3,3,,,,3-4,○,,,,
24,전공선택,East Asian International Relations,IS2402,3,3,,,,2,○,,,,
25,전공선택,Econometrics,IS4201,3,3,,,,3-4,○,,,,
26,전공선택,Economic Development,IS4202,3,3,,,,3-4,,○,,,
27,전공선택,Economics of Poverty,IS3530,3,3,,,,3-4,○,,,,
28,전공선택,Evaluation Methods in International Development,IS3538,3,3,,,,3-4,,○,,,
